"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,
"1;""R2","R1"";""R_0201_0603Metric"";2;""5k1"";;;",,,,
"2;""C6",C1,C2,C4,"C8"";""C_0805_2012Metric"";5;""10uF"";;;",
"3;""F2"";""Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";1;""6V/500mA"";;;",,,,,
"4;""R5","R6"";""R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"";2;""1k"";;;",,,,
"5;""C14",C5,C7,C9,C15,"C13"";""C_0201_0603Metric"";6;""0.1uF"";;;"
"6;""U1"";""Heltec_HT-CT62"";1;""HT-CT62"";;;",,,,,
"7;""R7","R8"";""R_0201_0603Metric"";2;""10k"";;;",,,,
"8;""R10","R9"";""R_0201_0603Metric"";2;""4.7k"";;;",,,,
"9;""SW2","USER"";""SW_SPST_Omron_B3FS-100xP"";2;""SW_Push"";;;",,,,
"10;""D7"";""D_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";1;""PWR_LED"";;;",,,,,
"11;""D4",D3,"D1"";""D_SOD-523"";3;""LESD5D5.0CT1G"";;;",,,
"12;""U4"";""Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering"";1;""BME680"";;;",,,,,
"13;""Y1"";""Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering"";1;""32.768Khz"";;;",,,,,
"14;""C10","C3"";""C_0805_2012Metric"";2;""1uF"";;;",,,,
"15;""J3"";""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"";1;""RX_TX"";;;",,,,,
"16;""R4"";""R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"";1;""1k"";;;",,,,,
"17;""J1"";""USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A"";1;""USB_C_Receptacle_USB2.0_16P"";;;",,,,,
"18;""J2"";""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"";1;""JST_BATT_CONN"";;;",,,,,
"19;""D6","D5"";""LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder"";2;""LED"";;;",,,,
"20;""C11","C12"";""C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"";2;""22pF"";;;",,,,
"21;""U3"";""SOT-223-3_TabPin2"";1;""AMS1117-3.3"";;;",,,,,
"22;""Q1"";""SOT-23"";1;""AO3401A"";;;",,,,,
"23;""J5"";""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"";1;""5V"";;;",,,,,
"24;""D2"";""D_SOD-123"";1;""1N5819HW-7-F"";;;",,,,,
"25;""J4"";""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"";1;""FREE_PINS"";;;",,,,,
"26;""U2"";""TSOT-23-6"";1;""TP4057"";;;",,,,,
"27;""R3"";""R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"";1;""2k"";;;",,,,,
